target_id,jurisdiction_name,state,target_type,expected_archetype,expected_classification,row_role,target_key,source_identity,selection_reason
MB100-001,Seattle,WA,place,AR-001,government,REGRESSION CONTROL,ocd-division/country:us/state:wa/place:seattle,place-5363000,Unchanged municipal fixture
MB100-002,Tacoma,WA,place,AR-001,government,REGRESSION CONTROL,ocd-division/country:us/state:wa/place:tacoma,place-5370000,Second unchanged municipal fixture
MB100-003,Pierce County,WA,county,AR-002,government,REGRESSION CONTROL,ocd-division/country:us/state:wa/county:pierce,county-53053,Unchanged county fixture
MB100-004,Colorado Springs School District 11,CO,school district,AR-003,school_system,REGRESSION CONTROL,ocd-division/country:us/state:co/county:el_paso/school_district:colorado_springs_school_district_no._11,GEOID 0803060,Unchanged school-system fixture
MB100-005,Regional Transportation District,CO,transit authority,AR-004,transit_authority,REGRESSION CONTROL,lookup:Regional Transportation District,PID6 143592 / GIDID 06401680300000,Unchanged transit override fixture
MB100-006,City and County of Denver,CO,coextensive place/county,AR-005,government,REGRESSION CONTROL,ocd-division/country:us/state:co/place:denver,place-0820000 / county-08031,Unchanged coextensive fixture
MB100-007,Spokane,WA,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:wa/place:spokane,place-5367000,Previously successful municipality; first timed non-control reuse
MB100-008,Albuquerque,NM,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:nm/place:albuquerque,place-3502000,Southwest municipality with exact place GEOID
MB100-009,Boston,MA,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ma/place:boston,place-2507000,New England city and official-name normalization
MB100-010,Phoenix,AZ,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:az/place:phoenix,place-0455000,Large municipal place in a previously measured state
MB100-011,San Antonio,TX,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:tx/place:san_antonio,place-4865000,"One governing place spanning Bexar, Comal, and Medina counties"
MB100-012,Charlotte,NC,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:nc/place:charlotte,place-3712000,Southeastern municipality with exact state/name disambiguation
MB100-013,Columbus,OH,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:oh/place:columbus,place-3918000,Three-county place and same-name cross-state collision
MB100-014,Detroit,MI,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:mi/place:detroit,place-2622000,Large Michigan city and city-label normalization
MB100-015,Milwaukee,WI,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:wi/place:milwaukee,place-5553000,Three-county place and ward-rich city
MB100-016,Omaha,NE,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ne/place:omaha,place-3137000,New Plains state and exact municipal identity
MB100-017,Wichita,KS,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ks/place:wichita,place-2079000,Place/cousub duplicate geography; governing place must win
MB100-018,Memphis,TN,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:tn/place:memphis,place-4748000,Same-name cross-state collision
MB100-019,Raleigh,NC,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:nc/place:raleigh,place-3755000,One governing place spanning Durham and Wake counties
MB100-020,Atlanta,GA,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ga/place:atlanta,place-1304000,One governing place spanning DeKalb and Fulton counties
MB100-021,Salt Lake City,UT,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ut/place:salt_lake_city,place-4967000,Official name includes City suffix
MB100-022,King County,WA,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:wa/county:king,county-53033,Large county in the fixture state
MB100-023,Cuyahoga County,OH,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:oh/county:cuyahoga,county-39035,Charter-county variation
MB100-024,Miami-Dade County,FL,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:fl/county:miami-dade,county-12086,Hyphenated canonical county identity
MB100-025,Allegheny County,PA,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:pa/county:allegheny,county-42003,County executive/council variation
MB100-026,Cook County,IL,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:il/county:cook,county-17031,Large Midwestern county and deep nested geography
MB100-027,Dallas County,TX,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:tx/county:dallas,county-48113,Same-name cross-state county collision
MB100-028,Fulton County,GA,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:ga/county:fulton,county-13121,Same-name cross-state county collision
MB100-029,Hennepin County,MN,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:mn/county:hennepin,county-27053,Large county linked to a prior municipal proof
