source_id,source_type,agency,title,url,retrieved_at,confidence,use
montgomery-elections-roster,current_officeholders_and_freshness,Montgomery County Elections,Elected Official Information and Precinct Roster,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,high,"Official Elections roster revised February 18, 2026 identifies all ten current offices in scope: County Judge Mark Keough; Commissioners Robert Walker, Charlie Riley, Ritch Wheeler, and Matt Gray; District Clerk Melisa Miller; County Clerk L. Brandon Steinmann; County Treasurer Melanie Bush; Sheriff Wesley Doolittle; and Tax Assessor-Collector Tammy J. McRae."
montgomery-elections-home,source_navigation,Montgomery County Elections,Elections Home,https://elections.mctx.org/,2026-08-02,high,"Official Elections home links Elected Official Information, candidate filings, street search, and current election resources."
montgomery-elections-maps,geometry_context,Montgomery County Elections,Maps,https://elections.mctx.org/Maps.asp,2026-08-02,high,"Official Elections mapping page publishes the Commissioner Precinct Map and supporting voting-precinct maps."
montgomery-candidate-filings,selection_and_turnover_context,Montgomery County Elections,Candidate Filings,https://elections.mctx.org/CandidateFiling.asp,2026-08-02,high,"Official filing directory preserves current and predecessor names by office. It is supplementary selection and turnover evidence and does not independently control the current roster."
montgomery-county-judge,current_officeholder_cross_check,Office of the Montgomery County Judge,Mark Keough County Judge,https://markkeough.org/about/,2026-08-02,medium,"Current officeholder site identifies Mark Keough as Montgomery County Judge; the Elections roster remains the controlling governmental source."
montgomery-commissioner-1,current_officeholder_cross_check,Montgomery County Commissioner Precinct 1,Commissioner Robert Walker,https://www.walkermctx.org/,2026-08-02,medium,"Current Precinct 1 officeholder site identifies Commissioner Robert Walker and independently matches the Elections roster and GIS REPNAME1 value."
montgomery-commissioner-2,current_officeholder_cross_check,Montgomery County Commissioner Precinct 2,Commissioner Charlie Riley,https://commprecinct2.org/,2026-08-02,high,"Current Precinct 2 operational site identifies Commissioner Charlie Riley and independently matches the Elections roster and GIS REPNAME1 value."
montgomery-commissioner-3,current_officeholder_and_turnover_cross_check,Montgomery County Commissioner Precinct 3,Commissioner Ritch Wheeler,https://mctxpct3.org/about/,2026-08-02,high,"Current Precinct 3 office page identifies Ritch Wheeler as Commissioner. James Noack is predecessor context only."
montgomery-county-clerk,current_officeholder_cross_check,Montgomery County Clerk,Official Records Search,https://montgomery.tx.publicsearch.us/,2026-08-02,high,"Current transactional records portal identifies County Clerk L. Brandon Steinmann."
montgomery-district-clerk,current_officeholder_cross_check,Montgomery County District Clerk,District Clerk,https://www.mctx.org/departments/departments_d_-_f/district_clerk/index.php,2026-08-02,high,"Current county office source identifies the District Clerk office; the Elections roster controls Melisa Miller as the current holder."
montgomery-sheriff,current_officeholder_cross_check,Sheriffs' Association of Texas,Montgomery County Sheriff,https://www.txsheriffs.org/county_map/county/2693,2026-08-02,high,"Current statewide sheriff directory independently identifies Wesley Doolittle as Montgomery County Sheriff."
montgomery-tax-office,current_officeholder_cross_check,Montgomery County Tax Office,Tax Office,https://www.mctx.org/departments/departments_q_-_z/tax_office/index.php,2026-08-02,high,"Current county Tax Office source defines the office; the Elections roster controls Tammy J. McRae as the current Tax Assessor-Collector."
montgomery-treasurer,current_officeholder_cross_check,Montgomery County Treasurer,County Treasurer,https://www.mocotreasurer.org/,2026-08-02,high,"Current Treasurer office source independently supports Melanie Bush as Montgomery County Treasurer."
montgomery-commissioner-dataset,geometry_item_and_april_freshness,Montgomery County IT-GIS,County Commissioner Precincts,https://www.arcgis.com/home/item.html?id=ea4f547b5eec474b8eb6d022afe173b3,2026-08-02,high,"County-owned feature-service item was refreshed April 24, 2026 and resolves to CountyDistrict_Commissioner/FeatureServer/0."
montgomery-lookup-app,application_and_february_freshness,Montgomery County IT-GIS,Look Up My Commissioner,https://www.arcgis.com/home/item.html?id=06f7b0e0e2354c8f8e77be19c4256ff5,2026-08-02,high,"County-owned lookup application created February 26, 2026 references web map 8d0ca3edd9bb46f9aea60c99faa54e83 and reaches the same Commissioner dataset."
montgomery-lookup-web-map,application_geometry_bridge,Montgomery County IT-GIS,Look Up My Commissioner Map,https://www.arcgis.com/home/item.html?id=8d0ca3edd9bb46f9aea60c99faa54e83,2026-08-02,high,"County-owned web map bridges the lookup application to feature-service item ea4f547b5eec474b8eb6d022afe173b3."
montgomery-operational-layer,geometry_and_live_roster,Montgomery County IT-GIS,County Commissioner Precincts Layer,https://services1.arcgis.com/PRoAPGnMSUqvTrzq/arcgis/rest/services/CountyDistrict_Commissioner/FeatureServer/0,2026-08-02,high,"Controlling polygon layer uses DISTRICTID values C1 through C4 and roster-bearing REPNAME1 values Robert Walker, Charlie Riley, Ritch Wheeler, and Matt Gray. NAME publishes Commissioner Precinct 1 through 4."
census-montgomery-county,geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,"Official county boundary for Census GEOID 48339."
