source_id,source_type,agency,title,url,retrieved_at,confidence,use
gillespie-commissioners-court,current_officeholders_and_map_entrypoint,Gillespie County Commissioners Court,Commissioners Court,https://www.gillespiecounty.gov/1292/Commissioners-Court,2026-08-02,high,"Official page identifies Daniel Jones, Charles Olfers, Keith Kramer, Chuck Jenschke, and Don Weinheimer and links the Commissioner map effective January 1, 2022."
gillespie-elected-officials,office_structure,Gillespie County,Elected Officials,https://www.gillespiecounty.gov/1185/Elected-Officials,2026-08-02,high,Official index lists County Surveyor among elected officials and describes the office as elective with a four-year term.
gillespie-county-surveyor,current_officeholder_and_office_structure,Gillespie County Surveyor,County Surveyor,https://www.gillespiecounty.gov/1205/County-Surveyor,2026-08-02,high,"Official page identifies Don Kuhlmann, RPLS and distinguishes surveyor information from the County Engineering Department."
gillespie-county-judge,current_officeholder,Gillespie County Judge,County Judge,https://www.gillespiecounty.gov/1208/County-Judge,2026-08-02,high,Official page identifies Daniel Jones.
gillespie-sheriff,current_officeholder,Gillespie County Sheriff,County Sheriff,https://www.gillespiecounty.gov/1206/County-Sheriff,2026-08-02,high,Official page identifies Chris Ayala.
gillespie-county-clerk,current_officeholder,Gillespie County Clerk,County Clerk,https://www.gillespiecounty.gov/1211/County-Clerk,2026-08-02,high,Official page identifies Lindsey Brown.
gillespie-district-clerk,current_officeholder,Gillespie County District Clerk,District Clerk,https://www.gillespiecounty.gov/1200/District-Clerk,2026-08-02,high,Official page identifies McKenna Monk Herbort.
gillespie-tax-assessor,current_officeholder,Gillespie County Tax Assessor-Collector,County Tax Assessor-Collector,https://www.gillespiecounty.gov/1204/County-Tax-Assessor-Collector,2026-08-02,high,Official page identifies Carol Rode Durst.
gillespie-treasurer,current_officeholder,Gillespie County Treasurer,County Treasurer,https://www.gillespiecounty.gov/1203/County-Treasurer,2026-08-02,high,Official page identifies Vicki J. Schmidt.
gillespie-candidate-filings,future_candidate_evidence,Gillespie County Elections,Candidate Campaign Information,https://www.gillespiecounty.gov/1318/Candidate-Campaign-Information,2026-08-02,high,Official 2026 filing index includes Kuhlmann; retained as future-election evidence only and not a second current term.
gillespie-engineering,explicit_non_scope_department,Gillespie County Engineering Department,Engineering Department,https://gillespiecounty.gov/1198/Engineering-Department,2026-08-02,high,Official page identifies Melissa Eckert as County Engineer; the department remains separate from the elected County Surveyor.
gillespie-county-attorney,explicit_non_scope_office,Gillespie County Attorney,County Attorney,https://www.gillespiecounty.gov/1213/County-Attorney,2026-08-02,high,Official page identifies Sara Neel; office remains outside the bounded release.
gillespie-constables,explicit_non_scope_offices,Gillespie County,County Constables,https://www.gillespiecounty.gov/1210/County-Constables,2026-08-02,high,Official page identifies four constables; offices remain outside the bounded release.
texas-constitution-16-44,constitutional_office_authority,State of Texas,Texas Constitution Article XVI § 44,https://statutes.capitol.texas.gov/Docs/CN/htm/CN.16.htm#16.44,2026-08-02,high,Constitutional authority for election of a County Surveyor unless the office is abolished.
texas-natural-resources-code-23-011,term_and_qualification_authority,State of Texas,Texas Natural Resources Code § 23.011,https://statutes.capitol.texas.gov/Docs/NR/htm/NR.23.htm#23.011,2026-08-02,high,Provides a four-year elected term and registered-professional-land-surveyor qualification.
gillespie-precinct-maps,geometry_effective_date,Gillespie County,Precinct Maps,https://www.gillespiecounty.gov/1261/Precinct-Maps,2026-08-02,high,"Official page publishes the Commissioner map and states the revised precinct plan is effective January 1, 2022."
gillespie-official-commissioner-map,district_assignment_geometry,Gillespie County,Gillespie County Commissioner Precinct Map,https://www.gillespiecounty.gov/DocumentCenter/View/1038/Gillespie-County-Commissioner-Precinct-Map-PDF,2026-08-02,high,"Pinned official PDF controls district assignment; SHA-256 5409b6592515efe37af4bbff12a2923e782794f2bbc4d077035a8f0163f3fd70. Illustrative Plan 1 was adopted November 1, 2021."
texas-legislative-council-voting-precincts,exact_polygon_geometry,Texas Legislative Council,2026 Primary Voting Precincts,https://data.capitol.texas.gov/dataset/d04c72b9-16c4-4ab2-8c6d-c666d41e04b7/resource/33ec5b30-ee4d-424f-9769-57b87cb5e311/download/precincts26p.zip,2026-08-02,high,"Current authoritative polygon source; 13 Gillespie voting precincts, source ZIP SHA-256 70a67743d55a218ba5ce6057816563376f61cf0bc531a77d1edc98644c310107."
census-gillespie-county,countywide_geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,Official county boundary for Census GEOID 48171.
