source_id,source_type,agency,title,url,retrieved_at,confidence,use
kaufman-commissioners-court,current_officeholders,Kaufman County Commissioners Court,Commissioners Court,https://www.kaufmancounty.net/159/Commissioners-Court,2026-08-02,high,"Official court page identifies County Judge Jakie Allen and Commissioners Terry Crow, Skeet Phillips, Kelly Lane, and Tommy Moore."
kaufman-county-judge,current_officeholder,Kaufman County,County Judge,https://www.kaufmancounty.net/208/County-Judge,2026-08-02,high,"Official office page identifies Jakie Allen as County Judge; campaign-finance spelling variants do not override the office page."
kaufman-sheriff,current_officeholder,Kaufman County Sheriff's Office,Sheriff,https://www.kaufmanso.com/,2026-08-02,high,"Official Sheriff's Office identifies Bryan Beavers as Sheriff."
kaufman-county-clerk,current_officeholder,Kaufman County,County Clerk,https://www.kaufmancounty.net/166/County-Clerk,2026-08-02,high,"Official office page identifies Laura Hughes as County Clerk."
kaufman-district-clerk,current_officeholder,Kaufman County,District Clerk,https://www.kaufmancounty.net/232/District-Clerk,2026-08-02,high,"Official office page identifies Rhonda Hughey as District Clerk."
kaufman-tax-assessor,current_officeholder,Kaufman County,Tax Assessor-Collector,https://www.kaufmancounty.net/247/Tax-Assessor/QuickLinks,2026-08-02,high,"Official office page identifies Teressa Floyd as Tax Assessor-Collector; one campaign-finance spelling variant is non-controlling."
kaufman-county-treasurer,current_officeholder,Kaufman County,County Treasurer,https://www.kaufmancounty.net/211/County-Treasurer,2026-08-02,high,"Official office page identifies Chuck Mohnkern; current campaign records use Charles Mohnkern for the same person."
kaufman-criminal-district-attorney,current_officeholder_and_office_structure,Kaufman County Criminal District Attorney,District Attorney,https://www.kaufmancounty.net/217/District-Attorney,2026-08-02,high,"Official office page identifies Erleigh Norville Wiley as the elected Criminal District Attorney and describes county and district criminal jurisdiction."
kaufman-cda-leadership,current_officeholder_crosscheck,Kaufman County Criminal District Attorney,Divisional Leadership,https://www.kaufmancounty.net/475/Divisional-Leadership,2026-08-02,high,"Official leadership page corroborates Erleigh Norville Wiley and the single-office divisional structure."
kaufman-cda-open-records,county_attorney_component_duties,Kaufman County Criminal District Attorney,Public Information Act Open Records,https://www.kaufmancounty.net/496/Public-Information-Act-Open-Records,2026-08-02,high,"Official page routes county public-information and Civil Division work through the Criminal District Attorney office."
kaufman-campaign-finance,current_officeholder_crosscheck_and_aliases,Kaufman County,Campaign Finance,https://www.kaufmancounty.net/173/Campaign-Finance,2026-08-02,medium,"Current county filings corroborate the bounded elected roster and preserve William/Skeet Phillips, Charles/Chuck Mohnkern, and isolated spelling variants as one-person alias evidence; judicial, JP, constable, and Surveyor records remain non-scope."
kaufman-county-surveyor,explicit_non_scope,Kaufman County,County Surveyor,https://www.kaufmancounty.net/254/County-Surveyor,2026-08-02,high,"Official county page identifies Greg Sjerven as County Surveyor, explicitly outside the bounded eleven-office release."
texas-government-code-44-229,statutory_consolidation,State of Texas,Texas Government Code Section 44.229,https://statutes.capitol.texas.gov/Docs/GV/htm/GV.44.htm#44.229,2026-08-02,high,"Statute creates the Kaufman County Criminal District Attorney and requires that one office to perform duties conferred on county and district attorneys."
kaufman-2021-redistricting-order,controlling_redistricting_action,Kaufman County Commissioners Court,November 9 2021 Commissioners Court Redistricting Order,https://kaufmancountytx.new.swagit.com/videos/147878,2026-08-02,high,"Official meeting record adopts the Commissioner plan for 2022 and records that underlying election precinct boundaries must conform to the new Commissioners Court precincts."
kaufman-official-commissioner-map,controlling_district_assignment,Kaufman County,Commissioner Precinct Map,https://www.kaufmancounty.net/ImageRepository/Document?documentId=8470,2026-08-02,high,"Official county PNG controls assignment of current voting precinct polygons to Commissioner Precincts 1-4; pinned SHA-256 49673d66657b8dd93daec7aad205d549023bffa263c5db71707032ae321ca8e6."
kaufman-official-gis-app,inaccessible_official_map_entrypoint,Kaufman County GIS,Official GIS Web Application,https://gis.kaufmancounty.net/portal/apps/webappviewer/index.html?id=da2d7bb2339b4c67bfe382fc24bb775a,2026-08-02,medium,"Official county-linked app is retained as the public map entrypoint. Its host resolved to 67.133.180.13 but timed out before HTTP response from GitHub-hosted runners, so it does not control the reproducible geometry fetch."
texas-legislative-council-voting-precincts,geometry_component,Texas Legislative Council,2026 Primary Election Voting Precincts,https://data.capitol.texas.gov/dataset/precincts/resource/33ec5b30-ee4d-424f-9769-57b87cb5e311,2026-08-02,high,"Current state-maintained 2026 primary voting-precinct polygons control exact geometry. All 37 Kaufman voting precincts are assigned and dissolved according to the official county map."
census-kaufman-county,countywide_geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,"Official county boundary for Census GEOID 48257."
