record_id,target_id,jurisdiction_name,related_target_or_evidence,run_started_at,run_stopped_at,review_started_at,review_stopped_at,source_timer_integrity,governed_timer_integrity,defect_class,source_integrity,reconciliation_method,effective_gate,activation_status,successor_decision,evidence_source,notes
TMR-041,MB100-041,Metropolitan Water Reclamation District,D-072 links MB100-041 to MB100-051; current source rows 51 and 61,2026-08-07 22:02:48,2026-08-07 22:03:34,2026-08-07 22:05:01,2026-08-07 22:09:01,TRUE,FALSE,DECISION_SOURCE_CONFLICT,IMMUTABLE — Measured Batch 100 source row and D-072/System_State retained separately,CLEAN_RERUN + RETAINED_EVIDENCE REVIEW + SEPARATE SUCCESSOR DECISION,WAIT — governed FALSE / source TRUE,PREP ONLY — CONFLICT UNRESOLVED,,D-072; D-098; Scale Readiness!A68:J68,A sidecar may document resolution but cannot manufacture historical timer integrity.
TMR-051,MB100-051,Birmingham,MB100-052 — Fairbanks; D-072 retains both as out-of-sequence PASS evidence,2026-08-08 22:22:38,2026-08-08 22:22:47,2026-08-08 22:22:54,2026-08-08 22:23:04,TRUE,FALSE,DECISION_SOURCE_CONFLICT + OUT_OF_SEQUENCE_RETAINED,IMMUTABLE — Measured Batch 100 source row and D-072/System_State retained separately,CLEAN_RERUN + RETAINED_EVIDENCE REVIEW + SEPARATE SUCCESSOR DECISION,WAIT — governed FALSE / source TRUE,PREP ONLY — CONFLICT UNRESOLVED,,D-072; D-098; Scale Readiness!A69:J69,A sidecar may document resolution but cannot manufacture historical timer integrity.
TMR-078,MB100-078,El Paso,MB100-079; MB100-081,2026-08-11 20:38:53,2026-08-11 20:43:23,2026-08-11 21:02:03,2026-08-11 21:23:42,FALSE,FALSE,HISTORICAL_PARALLEL_LANE_OVERLAP,IMMUTABLE — original Measured Batch 100 timestamps and AG formula preserved,RETAIN_AS_AUDIT_EVIDENCE — no retrospective clock edit,WAIT — FALSE,PRESERVED — NO SOURCE MUTATION,,Measured Batch 100!K88:S88,D-094 accepts this only for internal certification; it does not waive the 8/8 expansion gate.
TMR-079,MB100-079,Pittsburgh,MB100-078,2026-08-11 20:40:25,2026-08-11 20:43:24,2026-08-11 20:50:41,2026-08-11 20:56:35,FALSE,FALSE,HISTORICAL_PARALLEL_LANE_OVERLAP,IMMUTABLE — original Measured Batch 100 timestamps and AG formula preserved,RETAIN_AS_AUDIT_EVIDENCE — no retrospective clock edit,WAIT — FALSE,PRESERVED — NO SOURCE MUTATION,,Measured Batch 100!K89:S89,D-094 accepts this only for internal certification; it does not waive the 8/8 expansion gate.
TMR-080,MB100-080,Toledo,ZERO_DURATION_NON_CHRONOLOGICAL,2026-08-11 22:49:48,2026-08-11 22:49:48,2026-08-11 22:49:48,2026-08-11 22:49:48,FALSE,FALSE,ZERO_DURATION_NON_CHRONOLOGICAL,IMMUTABLE — original Measured Batch 100 timestamps and AG formula preserved,RETAIN_AS_AUDIT_EVIDENCE — no retrospective clock edit,WAIT — FALSE,PRESERVED — NO SOURCE MUTATION,,Measured Batch 100!K90:S90,D-094 accepts this only for internal certification; it does not waive the 8/8 expansion gate.
TMR-081,MB100-081,Minneapolis,MB100-078,2026-08-11 21:10:19,2026-08-11 21:12:19,2026-08-11 21:17:33,2026-08-11 21:22:26,FALSE,FALSE,HISTORICAL_PARALLEL_LANE_OVERLAP,IMMUTABLE — original Measured Batch 100 timestamps and AG formula preserved,RETAIN_AS_AUDIT_EVIDENCE — no retrospective clock edit,WAIT — FALSE,PRESERVED — NO SOURCE MUTATION,,Measured Batch 100!K91:S91,D-094 accepts this only for internal certification; it does not waive the 8/8 expansion gate.
TMR-082,MB100-082,Appleton,MB100-087; MB100-089,2026-08-11 22:22:00,2026-08-11 22:25:46,2026-08-11 22:25:54,2026-08-11 22:56:06,FALSE,FALSE,HISTORICAL_PARALLEL_LANE_OVERLAP,IMMUTABLE — original Measured Batch 100 timestamps and AG formula preserved,RETAIN_AS_AUDIT_EVIDENCE — no retrospective clock edit,WAIT — FALSE,PRESERVED — NO SOURCE MUTATION,,Measured Batch 100!K92:S92,D-094 accepts this only for internal certification; it does not waive the 8/8 expansion gate.
TMR-084,MB100-084,Topeka,MB100-091,2026-08-11 23:30:03,2026-08-11 23:32:50,2026-08-11 23:32:50,2026-08-11 23:49:17,FALSE,FALSE,HISTORICAL_PARALLEL_LANE_OVERLAP,IMMUTABLE — original Measured Batch 100 timestamps and AG formula preserved,RETAIN_AS_AUDIT_EVIDENCE — no retrospective clock edit,WAIT — FALSE,PRESERVED — NO SOURCE MUTATION,,Measured Batch 100!K94:S94,D-094 accepts this only for internal certification; it does not waive the 8/8 expansion gate.
TMR-086,MB100-086,Savannah,MB100-093,2026-08-12 00:00:32,2026-08-12 00:02:40,2026-08-12 00:04:56,2026-08-12 00:23:03,FALSE,FALSE,HISTORICAL_PARALLEL_LANE_OVERLAP,IMMUTABLE — original Measured Batch 100 timestamps and AG formula preserved,RETAIN_AS_AUDIT_EVIDENCE — no retrospective clock edit,WAIT — FALSE,PRESERVED — NO SOURCE MUTATION,,Measured Batch 100!K96:S96,D-094 accepts this only for internal certification; it does not waive the 8/8 expansion gate.
TMR-087,MB100-087,Provo,MB100-082,2026-08-11 22:28:37,2026-08-11 22:29:10,2026-08-11 22:35:45,2026-08-11 22:45:54,FALSE,FALSE,HISTORICAL_PARALLEL_LANE_OVERLAP,IMMUTABLE — original Measured Batch 100 timestamps and AG formula preserved,RETAIN_AS_AUDIT_EVIDENCE — no retrospective clock edit,WAIT — FALSE,PRESERVED — NO SOURCE MUTATION,,Measured Batch 100!K97:S97,D-094 accepts this only for internal certification; it does not waive the 8/8 expansion gate.
